PUID,description,tag,norma_sugerida,rationale,verification,priority
SIR-089,Debe existir un mecanismo de escaneo y auditoría automática de vulnerabilidades en las APIs expuestas de OpenEMR.,covered,"OWASP API6:2023, NIST RA-5, ISO 27002:2022 8.8.5",Permite detectar nuevas vulnerabilidades en interfaces de programación de forma proactiva.,"Integración de escáneres de API security (p.ej., OWASP ZAP, Burp Suite Enterprise) en el pipeline CI/CD.",H
SIR-090,Todos los datos clínicos (ePHI) almacenados en servicios en la nube deben cifrarse en reposo mediante claves gestionadas por el cliente (CMEK o BYOK).,covered,"ISO 27002:2022 8.10, NIST SC-12, HIPAA §164.312(a)(2)(iv)",Protege la confidencialidad de datos en reposo ante accesos no autorizados o errores de configuración en almacenamiento cloud.,"Verificación de configuración de cifrado en S3, RDS y EBS con KMS y claves propias.",H
SIR-091,Los buckets de almacenamiento (S3) no deben estar expuestos públicamente y deben tener políticas de acceso mínimo necesarias (least privilege).,covered,"CIS AWS Benchmark 2.1, ISO 27002:2022 5.18, NIST AC-6",Previene fugas de datos clínicas debido a errores comunes de configuración en objetos en la nube.,"Revisión de políticas de bucket y uso de herramientas como AWS Config, Prowler o ScoutSuite.",H
SIR-092,El acceso a la consola de gestión cloud debe estar protegido mediante autenticación multifactor obligatoria (MFA) para todas las cuentas administrativas.,new,"NIST IA-2(1), ISO 27002:2022 5.17, CIS AWS Benchmark 1.1","Evita el acceso no autorizado a la administración de recursos críticos en la nube, incluso en caso de fuga de credenciales.",Revisión de políticas IAM y configuración de MFA para root y usuarios con privilegios elevados.,H
SIR-093,"Los recursos en la nube deben utilizar roles IAM específicos para cada función, evitando credenciales estáticas en código o contenedores.",new,"NIST AC-6(10), ISO 27002:2022 5.18, OWASP Cloud-Native Top 10 A05","Reduce el riesgo de uso indebido de credenciales embebidas, minimiza superficie de ataque y fortalece trazabilidad.","Revisión de código fuente, pipelines y configuración de IAM roles por servicio.",H
SIR-094,"Todo tráfico entre componentes desplegados en la nube debe ser cifrado en tránsito utilizando TLS 1.2 o superior, incluyendo tráfico interno entre zonas o regiones.",partial,"ISO 27002:2022 8.4, NIST SC-12, HIPAA §164.312(e)(1)","Evita el espionaje de datos clínicos en tránsito, incluso dentro de entornos virtualizados que pueden ser compartidos.","Inspección de configuración de Load Balancer, certificados TLS, y política de comunicación VPC-to-VPC.",H
SIR-095,Debe activarse el logging centralizado de auditoría en servicios cloud (ej. AWS CloudTrail) y enviarse a un repositorio inmutable o sistema SIEM externo.,covered,"NIST AU-2, ISO 27002:2022 5.22, DISA STIG Cloud Logging","Permite detectar, rastrear y responder ante actividades sospechosas o violaciones en recursos cloud.","Revisión de configuración de CloudTrail, validación de envío a bucket S3 WORM o integración con SIEM.",H
SIR-096,Las imágenes de contenedor utilizadas deben provenir de repositorios de confianza y ser escaneadas automáticamente contra vulnerabilidades conocidas antes de su despliegue.,covered,"NIST SP 800-190 Control 2.1, CIS Docker Benchmark 5.1",Previene el uso de imágenes contaminadas o comprometidas que puedan introducir vulnerabilidades en producción.,"Integración de escaneo de imágenes (Trivy, Clair, Anchore) en pipelines CI/CD.",H
SIR-097,Se deben minimizar los privilegios de contenedores evitando el uso de contenedores privilegiados ('privileged: true') y ejecutando como usuarios no root.,covered,"CIS Docker Benchmark 5.28, NIST SP 800-190 Control 3.1",Minimiza el impacto de compromisos permitiendo defensa en profundidad y evitando escaladas de privilegios.,"Revisión de Dockerfiles y manifiestos de Kubernetes (PodSecurity Standards, PSPs o OPA policies).",H
SIR-098,"Todo acceso a la API Server de Kubernetes debe estar autenticado y autorizado estrictamente, registrando todas las operaciones en logs de auditoría.",covered,"DISA Kubernetes STIG K8S-1, NIST AC-17, ISO 27002:2022 5.16","Controla el acceso administrativo sobre clústeres, evitando accesos no autorizados o acciones maliciosas.","Revisión de configuración RBAC, habilitación de Audit Logs, uso de cert-manager o políticas OIDC.",H
SIR-099,Las políticas de red (Network Policies) deben ser aplicadas para restringir la comunicación entre pods solamente a lo necesario para el funcionamiento del sistema.,covered,"NIST SP 800-190 Control 5.2, CIS Kubernetes Benchmark 5.2",Reduce la superficie de ataque lateral dentro del clúster en caso de compromiso de un pod.,Inspección de políticas de red aplicadas en namespaces y pruebas de conectividad entre pods no permitidos.,H
SIR-100,"Se debe habilitar y configurar correctamente mecanismos de aislamiento de namespaces, runtime security y controladores de admisión (Admission Controllers) en Kubernetes.",covered,"DISA Kubernetes STIG K8S-3, NIST SP 800-190 Control 6.2","Previene ejecuciones no autorizadas, refuerza control de despliegue y mejora seguridad de clúster general.","Revisión de controladores habilitados (p.ej., PodSecurityAdmission, OPA/Gatekeeper), pruebas de políticas de admisión.",H
SIR-101,"Se deben realizar copias de seguridad completas, automáticas y frecuentes de toda la ePHI, y estas deben almacenarse en medios inmutables (WORM) o con protección contra sobrescritura.",covered,"NIST SP 1800-25, ISO 27002:2022 8.13, HIPAA §164.308(a)(7)",Permite recuperar datos íntegros ante ataques de cifrado malicioso que comprometan los datos en producción.,Verificación de políticas de backup + evidencia técnica de WORM activado en almacenamiento de respaldo.,H
SIR-102,Los entornos de respaldo y almacenamiento de copias deben estar segmentados de la red principal de producción para evitar propagación lateral de malware.,covered,"NIST SC-7(8), ISO 27002:2022 8.9.5",Evita que el ransomware cifre simultáneamente el entorno de producción y sus respaldos conectados.,"Inspección de reglas de firewall, segmentación de red y rutas de acceso entre zonas.",H
SIR-103,"Debe implementarse una solución de protección contra ransomware en endpoints, servidores y cargas cloud con detección basada en comportamiento (EDR).",covered,"NIST SI-4(1), ISO 27002:2022 8.7.4",Detecta y bloquea patrones de cifrado masivo o acceso sospechoso a múltiples archivos clínicos.,"Simulación de patrones de ransomware y análisis de respuesta automática (alertas, aislamiento de proceso).",H
SIR-104,Debe configurarse una política de listas blancas de ejecución que limite los binarios y scripts permitidos en entornos clínicos sensibles.,covered,"NIST SI-7(7), DISA STIG APP3530",Reduce la posibilidad de que código malicioso o no autorizado pueda ejecutarse dentro del sistema.,"Revisión de configuración de AppLocker, SELinux o mecanismos equivalentes en servidores OpenEMR.",H
SIR-105,"El sistema debe enviar alertas en tiempo real al detectar patrones compatibles con ataques de ransomware, como aumento anómalo de escrituras o cambios masivos en archivos.",covered,"NIST IR-5, ISO 27002:2022 5.22, OWASP A09:2021",Permite una respuesta inmediata y reduce el alcance del cifrado automático.,Simulación de actividad ransomware-like y verificación de alerta generada en el SIEM o sistema de detección.,H
SIR-106,"El sistema debe limitar el número de cuentas con privilegios administrativos y definir roles separados para gestión, auditoría y operación clínica.",covered,"ISO 27002:2022 5.18, NIST AC-6, HIPAA §164.312(a)",Reduce el riesgo de abuso de privilegios o errores administrativos al aplicar el principio de mínimo privilegio.,Revisión de roles en el sistema de gestión de usuarios e inspección de uso de cuentas admin.,H
SIR-107,"Todo uso de cuentas con privilegios elevados debe ser registrado con auditoría detallada, incluyendo hora, acciones realizadas y motivo del acceso.",covered,"NIST AU-2, ISO 27002:2022 5.22, HIPAA §164.312(b)","Permite trazabilidad total sobre cambios críticos, facilitando la detección de accesos indebidos o acciones peligrosas.",Análisis de logs de eventos privilegiados y correlación con justificaciones/documentación de acceso.,H
SIR-108,"El sistema debe permitir el uso de cuentas de emergencia ('break-glass') con acceso temporal y controlado, activadas solo bajo condiciones clínicas críticas.",covered,"HIPAA §164.312(a)(1), NIST AC-2(5), ISO 27002:2022 5.17.7",Permite garantizar la atención médica urgente sin comprometer las políticas estándar de acceso y seguridad.,Verificación de existencia de usuarios break-glass + logs de activación + evidencia de control posterior.,H
SIR-109,"Debe realizarse una revisión periódica (al menos trimestral) de las cuentas con privilegios administrativos para validar su necesidad, uso y vigencia.",covered,"NIST AC-2(3), ISO 27002:2022 5.20.3",Evita la acumulación de cuentas elevadas innecesarias y permite revocar accesos obsoletos.,Informe de revisión de cuentas privilegiadas firmado por el responsable de seguridad.,M
SIR-110,Las credenciales de cuentas privilegiadas deben almacenarse y rotarse de forma automática mediante soluciones de gestión segura (Password Vaults).,covered,"NIST IA-5, ISO 27002:2022 8.3.5",Evita filtraciones o reutilización indebida de credenciales sensibles en entornos clínicos críticos.,"Inspección de uso de herramientas como HashiCorp Vault, CyberArk o AWS Secrets Manager.",H
SIR-111,El sistema debe garantizar que todo correo que contenga ePHI se transmita exclusivamente mediante canales cifrados (TLS 1.2 o superior).,covered,"HIPAA §164.312(e)(1), ISO 27002:2022 8.4.1, NIST SP 800-52",Protege la confidencialidad de información clínica enviada por correo electrónico durante la transmisión.,"Análisis de configuración SMTP, uso de STARTTLS obligatorio y pruebas con herramientas como checktls.com.",H
SIR-112,"Todo correo clínico debe estar protegido mediante mecanismos de autenticación de servidor como SPF, DKIM y políticas DMARC para prevenir spoofing.",covered,"NIST SP 800-45, ISO 27002:2022 8.11.4, CIS Controls v8 9.4",Evita el uso fraudulento de dominios clínicos para phishing o suplantación de identidad institucional.,"Validación de registros DNS de SPF, DKIM y DMARC para los dominios de envío configurados.",H
SIR-113,El sistema debe permitir la detección y filtrado automático de correos con archivos adjuntos maliciosos o enlaces sospechosos.,covered,"ISO 27002:2022 8.7.3, NIST SI-3, HIPAA §164.308(a)(5)(ii)(B)","Evita infecciones por malware, ransomware y accesos maliciosos a través del canal de correo.",Pruebas con EICAR y enlaces simulados de phishing; revisión de filtros de gateway SMTP o solución MTA.,H
SIR-114,Se debe proporcionar una alternativa segura para el intercambio de ePHI por correo mediante portales web con autenticación o cifrado punto a punto.,covered,"HIPAA §164.312(e)(1), ISO 27002:2022 8.4.4",Evita exponer información médica sensible incluso si el destinatario no soporta cifrado.,Revisión del sistema de mensajería segura o portales con acceso autenticado para pacientes o proveedores.,M
SIR-115,Los logs de envío y recepción de correos clínicos relevantes deben ser auditables y conservarse durante al menos 6 meses.,covered,"NIST AU-11, ISO 27002:2022 5.22, HIPAA §164.312(b)","Permite rastrear incidentes, demostrar cumplimiento y responder ante incidentes de filtración o acceso indebido.","Revisión de registros SMTP o SIEM con logs de ID de mensaje, destinatario y timestamp.",M
SIR-116,Las bases de datos que almacenen ePHI deben estar cifradas en reposo utilizando mecanismos de cifrado robustos (AES-256 o superior).,covered,"HIPAA §164.312(a)(2)(iv), ISO 27002:2022 8.10, NIST SC-12",Previene el acceso no autorizado a los datos clínicos incluso si se compromete el almacenamiento físico o virtual.,"Inspección de configuración de cifrado en MySQL, RDS o motor de BBDD, validación de claves y algoritmo.",H
SIR-117,"El acceso a la base de datos debe estar restringido exclusivamente mediante usuarios autenticados y roles definidos, sin conexiones anónimas.",covered,"ISO 27002:2022 5.18, NIST AC-6, HIPAA §164.312(a)(1)",Evita accesos no trazables o generalizados que podrían manipular o exfiltrar registros clínicos.,Revisión de políticas de autenticación y existencia de cuentas con privilegios mínimos.,H
SIR-118,Todos los accesos y modificaciones a las bases de datos clínicas deben ser auditados con logs firmados o protegidos contra manipulación.,covered,"HIPAA §164.312(b), ISO 27002:2022 5.22, NIST AU-2",Permite la trazabilidad completa y la detección de accesos indebidos o errores críticos.,Activación de log de auditoría binario o SQL + pruebas de integridad con hashing/cifrado.,H
SIR-119,Debe implementarse validación de integridad periódica sobre la base de datos clínica para detectar alteraciones o corrupción de registros.,covered,"ISO 27002:2022 8.16, NIST SI-7, HIPAA §164.312(c)(1)","Asegura que la información clínica no haya sido modificada, truncada o corrompida por errores o amenazas.",Revisión de scripts o procesos automáticos de verificación de checksums y registros hash.,H
SIR-120,Las instancias de base de datos deben estar protegidas mediante firewalls o grupos de seguridad que bloqueen todo tráfico externo no autorizado.,covered,"ISO 27002:2022 5.14, NIST SC-7, CIS MySQL Benchmark","Previene ataques de red (brute-force, SQL injection remota) y exposición de puertos críticos a internet.","Inspección de reglas de red (VPC, SG, IPTables) que aseguren restricción de acceso solo desde IPs permitidas.",H
SIR-121,"[Opcional] Los modelos de IA clínica utilizados en decisiones deben ser trazables, incluyendo versión del modelo, parámetros y fecha de entrenamiento.",covered,"ISO 27002:2022 8.29, NIST SA-15(10)",Permite auditar y verificar la fiabilidad clínica de las decisiones algorítmicas.,Inspección de logs de predicción y almacenamiento de metadatos del modelo.,H
SIR-122,[Opcional] Las decisiones automáticas asistidas por IA deben poder ser explicadas clínicamente en lenguaje comprensible para el profesional.,covered,"ISO 27002:2022 8.29, NIST RA-9","Facilita la revisión humana informada, evita dependencia ciega del modelo y mejora confianza clínica.",Evaluación de la documentación o interfaz del sistema que muestre racional clínico o factores clave.,M
SIR-123,"[Opcional] Las predicciones realizadas por motores de IA deben quedar registradas con marca de tiempo, usuario responsable y contexto clínico.",covered,"NIST AU-2, ISO 27002:2022 5.22, HIPAA §164.312(b)",Garantiza trazabilidad de recomendaciones clínicas para revisión o refutación en caso de error.,Verificación de logs clínicos con auditoría de predicciones y decisiones tomadas.,H
SIR-124,[Opcional] Los datos clínicos utilizados para entrenar o mejorar modelos de IA deben anonimizarse o seudonimizarse previamente.,covered,"ISO 27002:2022 8.11.3, HIPAA §164.514(b), NIST SP 800-53 PM-18",Evita exposición no justificada de ePHI en fases de entrenamiento o ajuste del modelo.,Verificación de que los datos exportados para IA no contienen identificadores directos ni indirectos.,H
SIR-125,[Opcional] Los modelos de IA deben someterse a validaciones periódicas para confirmar su precisión clínica y evitar deriva algorítmica.,covered,"ISO 27002:2022 8.29.3, NIST SA-15(3)",Evita que un modelo obsoleto siga operando con decisiones incorrectas que afecten al paciente.,"Evidencia de evaluación periódica y métricas (precision, recall) frente a un set clínico de referencia.",M
SIR-126,Toda comunicación basada en HL7 FHIR debe realizarse exclusivamente a través de HTTPS (TLS 1.2 o superior) con certificados válidos.,covered,"ISO 27002:2022 8.4.1, NIST SC-12, HIPAA §164.312(e)(1)",Protege la confidencialidad e integridad de la ePHI intercambiada entre sistemas interoperables.,Pruebas de conexión a endpoints FHIR con validación de TLS y rechazo de HTTP.,H
SIR-127,El acceso a recursos FHIR debe requerir tokens con scopes definidos (OAuth 2.0) que limiten el acceso a los recursos estrictamente necesarios.,covered,"NIST AC-17, ISO 27002:2022 5.18, SMART on FHIR","Aplica el principio de mínimo privilegio y protege recursos sensibles como Patient, Observation, Encounter.","Verificación de autorización por scope (p. ej., patient/*.read) y denegación de acceso sin token válido.",H
SIR-128,"Cada transacción FHIR debe registrarse en logs auditables incluyendo ID de recurso accedido, tiempo, usuario y aplicación origen.",covered,"ISO 27002:2022 5.22, NIST AU-2, HIPAA §164.312(b)",Permite trazar el uso de APIs clínicamente sensibles y detectar usos indebidos o accesos masivos.,Inspección de logs de acceso FHIR en el servidor de OpenEMR y verificación de almacenamiento seguro.,H
SIR-129,Los parámetros de entrada a las APIs FHIR deben validarse estrictamente contra el perfil FHIR esperado y tamaños límite.,covered,"OWASP API8:2023, ISO 27002:2022 8.12","Evita inyecciones, denegaciones de servicio por payloads extensos o malformaciones que comprometan el sistema.","Fuzzing de APIs FHIR, revisión de uso de librerías de validación HL7 estándar (p. ej., HAPI FHIR validator).",H
SIR-130,El sistema debe implementar limitación de tasas de acceso (rate limiting) por aplicación y usuario para endpoints FHIR.,covered,"OWASP API4:2023, NIST SC-5","Evita abusos, scraping masivo de información sensible y ataques de denegación de servicio.",Pruebas de carga controlada y verificación de respuesta HTTP 429 al exceder umbral de peticiones.,M
SIR-131,Toda estación clínica o terminal físico que acceda a OpenEMR debe requerir autenticación individual del usuario mediante credenciales seguras.,covered,"HIPAA §164.310(a)(1), ISO 27002:2022 5.17.2, NIST AC-7","Evita accesos indebidos desde terminales compartidas o no supervisadas, protegiendo el acceso a ePHI.",Pruebas en estaciones de trabajo para verificar autenticación activa por usuario clínico.,H
SIR-132,Las estaciones clínicas deben bloquearse automáticamente tras un periodo definido de inactividad para prevenir el acceso no autorizado.,covered,"HIPAA §164.312(a)(2)(iii), ISO 27002:2022 5.17.6, DISA STIG",Reduce la posibilidad de exposición visual o manipulación de registros clínicos en entornos físicos compartidos.,Revisión de políticas de bloqueo de pantalla en estaciones y pruebas de inactividad.,H
SIR-133,"Las estaciones clínicas deben contar con mecanismos de protección antimanipulación física como anclajes, cierre de puertos no autorizados y ubicación segura.",covered,"ISO 27002:2022 7.3, HIPAA §164.310(a)(2)(iii), NIST PE-3","Evita que dispositivos sean robados, manipulados físicamente o usados como vía de ataque.",Inspección física de estaciones clínicas y validación de bloqueo de puertos USB no autorizados.,M
SIR-134,"Debe instalarse software de gestión de endpoints (MDM/EDR) en todas las estaciones clínicas para control remoto, actualizaciones, borrado o rastreo.",covered,"ISO 27002:2022 8.6.3, NIST CM-7, HIPAA §164.310(d)(1)","Permite monitorear y controlar estaciones clínicas, aplicar parches y responder a incidentes de forma centralizada.",Revisión de plataforma de gestión de endpoints y enrolamiento de estaciones.,H
SIR-135,Los dispositivos clínicos portátiles deben contar con cifrado completo de disco activado para prevenir pérdida o acceso a ePHI en caso de extravío.,covered,"HIPAA §164.312(a)(2)(iv), ISO 27002:2022 8.10.3, NIST MP-5",Protege los datos almacenados localmente en portátiles o tablets usados en movilidad clínica.,"Verificación de políticas de cifrado activo en sistemas operativos (BitLocker, FileVault, LUKS).",H
SIR-136,Toda firma electrónica clínica debe estar asociada a una identidad verificada del firmante mediante un mecanismo de autenticación fuerte.,covered,"ISO 27002:2022 8.5.3, NIST IA-2, HIPAA §164.312(a)(1)","Garantiza que la firma corresponde a la persona autorizada, evitando suplantaciones.",Revisión de logs de firma con identidad única vinculada y uso de 2FA/MFA para confirmación.,H
SIR-137,Los documentos clínicos firmados deben contar con un mecanismo de validación criptográfica que garantice su integridad y detecte cualquier modificación posterior.,covered,"ISO 27002:2022 8.3.5, HIPAA §164.312(c)(1)","Protege contra manipulaciones de documentos firmados como consentimientos, informes o recetas.","Verificación de integridad hash (p. ej., SHA-256) y comprobación de firma digital asociada.",H
SIR-138,"Las firmas electrónicas deben registrar la fecha, hora, usuario firmante y contexto clínico en el que se generaron.",covered,"ISO 27002:2022 5.22, HIPAA §164.312(b), NIST AU-2",Asegura la trazabilidad y responsabilidad clínica ante auditorías o disputas legales.,Inspección de logs de firma asociados a los registros electrónicos firmados.,H
SIR-139,Las firmas electrónicas clínicas deben estar protegidas contra reutilización o replicación en otros registros.,covered,"ISO 27002:2022 8.5.3, NIST SP 800-63B",Evita el uso fraudulento de firmas válidas en contextos distintos al original.,Verificación de unicidad y no transferibilidad de tokens de firma y restricciones por sesión.,H
SIR-140,"Debe permitirse la validación de firmas electrónicas incluso fuera del sistema OpenEMR, mediante verificación externa (p. ej., certificados públicos).",covered,"ISO 27002:2022 8.5.3, NIST SA-4(7)",Permite auditoría legal y validación de documentos firmados incluso por terceros o en contexto forense.,Revisión de mecanismos de exportación con firma XAdES/PAdES o certificados verificables.,M
SIR-141,"Se debe realizar una evaluación periódica de riesgos de seguridad sobre todos los activos que procesan o almacenan ePHI, al menos una vez al año o ante cambios significativos.",covered,"ISO 27002:2022 5.28, NIST RA-3, HIPAA §164.308(a)(1)(ii)(A)","Permite identificar nuevas amenazas, vulnerabilidades o impactos que comprometan la confidencialidad, integridad o disponibilidad de la ePHI.","Informe de evaluación de riesgos actualizado con evidencias de identificación, impacto y planes de tratamiento.",H
SIR-142,"Debe llevarse a cabo un Privacy Impact Assessment (PIA) ante cualquier nuevo tratamiento, módulo o integración que implique acceso a datos clínicos identificables.",covered,"ISO 27002:2022 8.11.1, NIST PM-9, Canada Health Infoway Req. 16",Permite anticipar y mitigar riesgos para los derechos de los pacientes y su información personal.,"Revisión documental del PIA realizado antes del despliegue de nuevos módulos, con evaluación de impacto legal y técnico.",H
SIR-143,El sistema debe contar con una metodología definida para priorizar los riesgos detectados en función del impacto en la ePHI y la probabilidad de ocurrencia.,covered,"ISO 27005, NIST RA-2, HIPAA §164.308(a)(1)","Facilita decisiones de seguridad efectivas, asignación de recursos y remediación escalonada.","Verificación del uso de matriz de riesgo o metodología tipo OCTAVE, FAIR o similar aplicada a OpenEMR.",H
SIR-144,La evaluación de riesgos debe actualizarse automáticamente o manualmente tras cualquier incidente de seguridad o hallazgo relevante.,covered,"ISO 27002:2022 5.28.2, NIST RA-4",Garantiza que los riesgos emergentes se gestionen de forma reactiva tras eventos no previstos.,Verificación de que las evaluaciones se modificaron tras incidentes registrados en el SIEM o en el sistema de tickets.,M
SIR-145,Debe mantenerse evidencia documental de todas las evaluaciones de riesgos y decisiones asociadas durante al menos 5 años para fines de cumplimiento.,covered,"HIPAA §164.316(b), ISO 27002:2022 5.28.3","Facilita auditorías, cumplimiento legal y análisis histórico de decisiones sobre seguridad clínica.","Auditoría de repositorio documental (con logs de versiones, decisiones tomadas y responsables).",M
SIR-146,Las áreas físicas donde se alojan servidores que contienen ePHI deben contar con control de acceso físico mediante autenticación multifactor o credenciales biométricas.,covered,"HIPAA §164.310(a)(1), ISO 27002:2022 7.4.1, NIST PE-3",Evita accesos no autorizados a infraestructura crítica que podría comprometer la disponibilidad o confidencialidad de datos clínicos.,"Verificación del sistema de control físico implementado (biométrico, tarjeta RFID) y registros de acceso.",H
SIR-147,"Las áreas sensibles deben contar con videovigilancia activa (CCTV) y grabación continua, conservada por al menos 30 días.",covered,"ISO 27002:2022 7.5.5, HIPAA §164.310(b)",Permite detectar y evidenciar accesos físicos indebidos o actividades sospechosas en zonas críticas.,"Revisión del sistema CCTV, retención de grabaciones y protección de acceso a las mismas.",M
SIR-148,"Las instalaciones donde se operan sistemas clínicos deben tener sensores de intrusión, incendios, humedad y temperatura conectados a una central de alertas.",covered,"ISO 27002:2022 7.9.1, NIST PE-6",Mitiga riesgos físicos/ambientales que podrían afectar la disponibilidad e integridad del sistema clínico.,Inspección de sensores ambientales instalados y pruebas periódicas de su funcionamiento.,H
SIR-149,"Debe aplicarse un registro obligatorio de visitantes a zonas restringidas físicas, incluyendo identificación, fecha, hora y motivo del acceso.",covered,"ISO 27002:2022 7.4.3, HIPAA §164.310(a)(2)(iii), NIST PE-8","Permite trazabilidad física, identificación de accesos no esperados y análisis forense ante incidentes.",Revisión del libro/log de visitantes y su custodia por seguridad física.,M
SIR-150,"Se debe proteger contra accesos externos no vigilados mediante barreras físicas perimetrales, puertas controladas electrónicamente y vigilancia continua.",covered,"ISO 27002:2022 7.1.2, NIST PE-2",Previene accesos no autorizados a instalaciones físicas donde se procesan o almacenan datos clínicos sensibles.,"Inspección física del perímetro, evaluación de medidas de entrada/salida, cámaras y sensores.",H
SIR-151,Todo sistema heredado o sin soporte activo que procese o acceda a ePHI debe estar segmentado en una red aislada sin conectividad directa con internet o entornos sensibles.,covered,"ISO 27002:2022 5.34, NIST SC-7, HIPAA §164.312(a)(1)",Minimiza el riesgo de compromisos al evitar que sistemas obsoletos expongan directamente información clínica crítica.,Inspección de topología de red y políticas de firewall para validación de segmentación efectiva.,H
SIR-152,"Se debe mantener monitoreo específico sobre los sistemas legados, incluyendo alertas ante patrones anómalos de tráfico, acceso o integridad de datos.",covered,"NIST SI-4, ISO 27002:2022 5.34.2, 5.22","Dado que no pueden parchearse fácilmente, se requiere compensación mediante monitoreo reforzado.","Verificación de integración con SIEM, agentes o sondas de detección de anomalías.",H
SIR-153,No se deben introducir nuevos datos clínicos sensibles en sistemas heredados sin soporte salvo que existan controles compensatorios documentados y activos.,covered,"ISO 27002:2022 5.34.1, NIST SA-10",Evita ampliar la superficie de exposición de ePHI a plataformas que no pueden garantizar protección adecuada.,Revisión de flujos de integración para confirmar que solo se usa para consulta y no ingreso de nueva ePHI.,M
SIR-154,"Todo acceso a sistemas legados debe registrarse con logs auditables, firmados o almacenados en sistemas externos de forma inmutable.",covered,"ISO 27002:2022 5.34.3, NIST AU-2, HIPAA §164.312(b)",Permite rastrear accesos indebidos y compensa la falta de seguridad nativa del sistema obsoleto.,Inspección de logs exportados a SIEM o almacenamiento seguro tipo WORM.,H
SIR-155,La continuidad del uso de sistemas legados debe estar justificada documentalmente con un análisis de riesgo y plan de migración progresivo.,covered,"ISO 27002:2022 5.34.4, NIST PM-9",Evita dependencia perpetua de tecnología obsoleta y promueve su reemplazo estructurado.,Revisión de análisis de riesgo firmado y plan de modernización o contención a mediano plazo.,M
