"ID","Requisito generado","Artículo/Fuente","¿Extraído correctamente?","Justificación/Comentarios","Nivel de fidelidad","Tipo de error (si aplica)","Legibility_Score","Max_Similarity","Porcentaje de Calidad"
"SEC-CAT-IAF-024","The application must ensure that changing the password requires changing at least eight characters.","NIST SP 800-63B §5.1.1.2 (parcial), ISO/IEC 27002:2022 8.2","Parcial","No está explícito en la normativa que se requieran 8 cambios exactos. Conviene reformular.","Media","Parcial","40.35","0.68-SEC-CAT-IAF-025","57.09"
"SEC-CAT-IAF-025","The application must comply with the following password complexity policies: o Require at least a special character. o Apply a minimal password length of 15 characters. o Demand at least one capital character. o Make at least a lowercase character. o Impose password complexity by requiring at least a numerical character.","ISO/IEC 27002:2022 8.2, NIST SP 800-63B §5.1.1.2","Sí","Complejidad fuerte, aunque NIST recomienda más bien frases largas que complejidad arbitraria.","Alta","","35.74","0.68-SEC-CAT-IAF-024","74.19"
"SEC-CAT-IAF-026","The application must prevent users, except the administrator or the user associated with the password, from making password changes.","ISO/IEC 27002:2022 5.17","Sí","Evita cambios indebidos de credenciales. Práctica esencial de control.","Alta","","18.35","0.73-SEC-CAT-IAF-018","62.59"
"SEC-CAT-IAF-027","Do not send or implement predetermined credentials, especially for administrators.","OWASP A07:2021, ISO/IEC 27002:2022 8.2","Sí","Credenciales predeterminadas son vector común de ataque inicial.","Alta","","2.11","0.54-SEC-CAT-BAC-003","51.53"
"SEC-CAT-IAF-028","The application must limit the number of concurrent sessions for each account to three.","NIST SP 800-53 AC-10, ISO/IEC 27002:2022 8.30","Sí","Limita exposición y compartición indebida de cuentas.","Alta","","57.27","1.00-SEC-CAT-IAF-029","86.82"
"SEC-CAT-IAF-029","The application must limit the number of concurrent sessions for each account to three.","NIST SP 800-53 AC-10, ISO/IEC 27002:2022 8.30","Sí","Redundante con IAF-028. Consolidar en una sola especificación.","Alta","Redundante","57.27","1.00-SEC-CAT-IAF-028","66.82"
"SEC-CAT-IAF-030","The EHRI application must restrict the duration of connections to application services to provide additional security in access to those applications.","NIST SP 800-53 AC-12, ISO/IEC 27002:2022 8.30","Sí","Control de duración de sesión evita sesiones innecesariamente prolongadas y riesgos asociados.","Alta","","7.86","0.54-SEC-CAT-LMF-024","55.96"
"SEC-CAT-IAF-031","The application must implement electronic procedures that automatically finish an electronic session after a default inactivity period.","HIPAA §164.312(b), NIST SP 800-53 AC-12, ISO/IEC 27002:2022 8.30","Sí","Inactividad prolongada debe conllevar cierre automático por seguridad.","Alta","","-30.39","0.58-SEC-CAT-IAF-033","34.15"
"SEC-CAT-IAF-032","The application must automatically end the administrator user session and close the administrator’s session after a 10-minute inactivity period is exceeded.","NIST SP 800-53 AC-12(1), ISO/IEC 27002:2022 8.30","Sí","Sesiones privilegiadas requieren políticas más estrictas de inactividad.","Alta","","-9.07","0.84-SEC-CAT-IAF-033","51.24"
"SEC-CAT-IAF-033","The application must automatically end the un-privileged user session and close the session of not-privileged users after a 15-minute inactivity period has elapsed.","NIST SP 800-53 AC-12, ISO/IEC 27002:2022 8.30","Sí","Periodo estándar para sesiones de usuario regular.","Alta","","5.83","1.00-SEC-CAT-IAF-034","56.46"
"SEC-CAT-IAF-034","The application must automatically end the un-privileged user session and close the session of not-privileged users after a 15-minute inactivity period has elapsed.","NIST SP 800-53 AC-12, ISO/IEC 27002:2022 8.30","Sí","Repetido respecto a IAF-033. Consolidar.","Alta","Redundante","5.83","1.00-SEC-CAT-IAF-033","36.46"
"SEC-CAT-IAF-035","The application must ensure that, at the end of a session, all network connections linked to that session are closed, and the session ID and cookies data are destroyed.","OWASP A07:2021, NIST SP 800-53 SC-23, ISO/IEC 27002:2022 8.30","Sí","Finalización segura de sesión es esencial para proteger datos persistentes.","Alta","","58.96","0.69-SEC-CAT-IAF-037","84.74"
"SEC-CAT-IAF-036","The application must be able to revoke the user's access privileges on time, which implies immediately preventing the user from accessing the system once their privileges have been revoked.","HIPAA §164.308(a)(3)(ii)(C), NIST SP 800-53 AC-2(5), ISO/IEC 27002:2022 5.18","Sí","Revocación inmediata es crítica tras desvinculación o compromisos.","Alta","","25.12","0.71-SEC-CAT-BAC-003","66.28"
"SEC-CAT-IAF-037","The application must finish the existing user sessions by eliminating an account. Configure the application to close user sessions whose accounts have been deleted.","NIST SP 800-53 AC-2(3), ISO/IEC 27002:2022 5.18","Sí","Evita que sesiones activas queden huérfanas tras eliminación.","Alta","","25.46","0.70-SEC-CAT-IAF-033","66.62"
"SEC-CAT-IAF-038","The application must automatically delete or deactivate temporary user accounts 72 hours after creation. Configure the temporary accounts so they are deleted or deactivated automatically after 72 hours of the account's creation.","NIST SP 800-53 AC-2(2), ISO/IEC 27002:2022 5.18","Sí","Gestión de cuentas temporales reduce exposición innecesaria.","Alta","","-3.99","0.84-SEC-CAT-IAF-039","49.50"
"SEC-CAT-IAF-039","The application must automatically deactivate the user accounts after an inactivity period of 35 days.","NIST SP 800-53 AC-2(3), ISO/IEC 27002:2022 5.18","Sí","Recomendado para gestión segura de cuentas inactivas.","Alta","","-2.98","0.84-SEC-CAT-IAF-038","49.50"
"SEC-CAT-SDF-001","The application must acquire components only from official sources through safe links. Preference must be given to signed packages to reduce the possibility of including a modified or malicious component.","NIST SP 800-218, ISO/IEC 27002:2022 8.25","Sí","Reduce riesgo de inclusión de software malicioso desde fuentes no confiables.","Alta","","22.41","0.54-SEC-CAT-SDF-002","64.60"
"SEC-CAT-SDF-002","The application must incorporate a 'software supply chain safety tool' to verify that the components do not contain known vulnerabilities.","NIST SP 800-218, ISO/IEC 27002:2022 8.25","Sí","Automatiza la verificación continua del estado de seguridad de dependencias.","Alta","","17.34","0.60-SEC-CAT-IND-014","61.84"
"SEC-CAT-SDF-003","The application must have a process for reviewing code and configuration changes to minimize the possibility of malicious code or configuration introduction in the software pipeline.","NIST SP 800-218, ISO/IEC 27002:2022 8.29","Sí","Previene introducción inadvertida o maliciosa en fases CI/CD.","Alta","","2.79","0.58-SEC-CAT-LMF-025","52.20"
"SEC-CAT-SDF-004","The application must ensure that its continuous integration channel/continuous deployment (CI/CD) has adequate segregation, safe configuration, and access control to guarantee the integrity of the code that flows through construction and implementation processes.","NIST SP 800-218, ISO/IEC 27002:2022 8.29","Sí","Asegura la integridad del entorno de desarrollo y despliegue.","Alta","","-21.25","0.52-SEC-CAT-SEM-001","37.31"
"SEC-CAT-SDF-005","The application must guarantee that the non-signed or non-encrypted serialized data are not sent to non-reliable customers without integrity verification or digital signature to detect manipulations or reproductions of the serialized data.","NIST SP 800-53 SC-12, ISO/IEC 27002:2022 10.1","Sí","Evita la manipulación o reproducción maliciosa de datos serializados.","Alta","","-20.23","0.67-SEC-CAT-SEM-003","35.43"
"SEC-CAT-SDF-006","The application must be able to show the previous content of a record at any point in the past, as well as the associated details of who entered, agreed, or modified the data and at what time.","HIPAA §164.312(b), ISO/IEC 27002:2022 8.15","Sí","Apoya trazabilidad e integridad mediante registros detallados de auditoría.","Alta","","42.38","0.54-SEC-CAT-LMF-011","75.10"
"SEC-CAT-SDF-007","The application must implement policies and procedures to protect protected electronic health information (EPHI) against improper alterations or destruction.","HIPAA §164.312(c)(1), ISO/IEC 27002:2022 8.14","Sí","Esencial para mantener la integridad y trazabilidad de ePHI.","Alta","","-15.5","0.79-SEC-CAT-LMF-001","44.38"
"SEC-CAT-LMF-001","The application must implement a comprehensive security management process to guarantee the non-repudiation, confidentiality, integrity, and availability of all protected electronic health information (EPHI) created, received, maintained, or transmitted. This process must include the periodic review of system activity records, such as audit records, access reports, and security monitoring reports.","HIPAA §164.308(a)(1)(ii)(D), ISO/IEC 27002:2022 5.10","Sí","Gestión integral conforme a los requisitos de salvaguarda administrativa de HIPAA.","Alta","","-21.59","1.00-SEC-CAT-LMF-002","43.40"
"SEC-CAT-LMF-002","The application must implement a comprehensive security management process to guarantee the non-repudiation, confidentiality, integrity, and availability of all protected electronic health information (EPHI) created, received, maintained, or transmitted. This process must include the periodic review of system activity records, such as audit records, access reports, and security monitoring reports.","HIPAA §164.308(a)(1)(ii)(D), ISO/IEC 27002:2022 5.10","Sí","Duplicado exacto de LMF-001. Se recomienda consolidar.","Alta","Redundante","-21.59","1.00-SEC-CAT-LMF-001","33.40"
"SEC-CAT-LMF-003","The application must have an audit reduction capacity that supports research after security incidents. The application must be configured to offer an audit reduction capacity that supports forensic investigations.","NIST SP 800-92, ISO/IEC 27002:2022 5.10","Sí","Facilita análisis forense eficaz post incidente.","Alta","","6.0","0.65-SEC-CAT-LMF-006","55.25"
"SEC-CAT-LMF-004","The application must generate audit records when successful/unsuccessful attempts are made to grant privileges. Configure the application to audit successful and unsuccessful attempts to grant privileges.","NIST SP 800-53 AU-2, ISO/IEC 27002:2022 5.10","Sí","Auditoría esencial para trazabilidad de cambios de privilegios.","Alta","","7.52","0.87-SEC-CAT-LMF-005","66.38"
"SEC-CAT-LMF-005","The application must generate audit records for successful and unsuccessful attempts to modify privileges, security levels, and information categories.","NIST SP 800-53 AU-2, ISO/IEC 27002:2022 5.10","Sí","Permite seguimiento de cambios críticos en seguridad y acceso.","Alta","","-15.5","0.95-SEC-CAT-LMF-006","42.64"
"SEC-CAT-LMF-006","The application must generate audit records for successful and failed attempts to eliminate privileges, security levels, database safety objects, and information categories.","NIST SP 800-53 AU-2(3), ISO/IEC 27002:2022 5.10","Sí","Eliminación de objetos sensibles debe ser registrada rigurosamente.","Alta","","-10.08","0.95-SEC-CAT-LMF-005","42.73"
"SEC-CAT-LMF-007","The application must generate audit records for privileged activities, accesses at the system level, successful/non-success to objects, and all direct access to the information system. The application in registration tickets corresponding to each type of activity mentioned must be configured.","NIST SP 800-53 AU-12, ISO/IEC 27002:2022 5.10","Sí","Incluye actividades privilegiadas y acceso directo al sistema.","Alta","","8.88","0.78-SEC-CAT-LMF-006","65.72"
"SEC-CAT-LMF-008","The application must register the actions of users related to access and data changes. It includes identifying specific data elements that require protection and auditing all access and modification of data.","HIPAA §164.312(b), ISO/IEC 27002:2022 5.10","Sí","Auditoría centrada en ePHI, soporta cumplimiento HIPAA.","Alta","","13.44","0.71-SEC-CAT-LMF-007","60.86"
"SEC-CAT-LMF-009","The application must audit the execution of privileged functions. Configure the application to record registration inputs when privileged functions are executed. At least ensure the specific action performed on the date and time of the event is registered.","NIST SP 800-53 AU-12(3), ISO/IEC 27002:2022 5.10","Sí","Funciones privilegiadas deben quedar registradas para análisis.","Alta","","41.66","0.72-SEC-CAT-LMF-007","78.42"
"SEC-CAT-LMF-010","The application must generate safe audit records every time a user: 1. Access, create, or update the personal health information (PHI) of a patient/person through the application; 2. Cancels the consent directives of a patient/person through the application; 3. Access, through the application, to data blocked or masked by instruction of a patient/person; 4. Access, create, or update user registration data in the application.","HIPAA §164.312(b), ISO/IEC 27002:2022 5.10","Sí","Control detallado de eventos críticos sobre ePHI.","Alta","","33.1","0.71-SEC-CAT-LMF-006","71.78"
"SEC-CAT-LMF-011","The application must generate audit records that show the start and end of the user's access time to the system and events related to the beginning, closure, and duration of sessions.","NIST SP 800-53 AU-12, ISO/IEC 27002:2022 5.10","Sí","Permite reconstruir la cronología del uso del sistema.","Alta","","40.01","0.69-SEC-CAT-LMF-012","77.25"
"SEC-CAT-LMF-012","The application must initiate the audit of sessions at the beginning. Configure the application to start registering application events as soon as the application starts.","NIST SP 800-53 AU-12, ISO/IEC 27002:2022 5.10","Sí","Crítico para que no se pierdan eventos de inicio.","Alta","","24.95","0.69-SEC-CAT-LMF-011","68.74"
"SEC-CAT-LMF-013","The application must register closing events of the application. Configure the application or application server to record the closing events of the application in the event records.","NIST SP 800-53 AU-12, ISO/IEC 27002:2022 5.10","Sí","Cierre controlado garantiza fin correcto del seguimiento de sesión.","Alta","","23.93","0.61-SEC-CAT-LMF-012","66.98"
"SEC-CAT-LMF-014","The application must generate audit records when successful or failed login attempts occur.","NIST SP 800-53 AU-2(3), ISO/IEC 27002:2022 5.10","Sí","Control básico para detección de accesos indebidos.","Alta","","32.9","0.79-SEC-CAT-LMF-006","76.73"
"SEC-CAT-LMF-015","The application must ensure that audit records contain information that establishes the following: 1. When using centralized logging; the application must include a unique identifier in order to distinguish itself from other application logs. 2. What type of event occurred; 3. The function performed by the accessing user; 4. When the event occurred with a time stamp mark that meets a granularity of one second for a minimum degree of precision. 5. Where the event occurred; 6. The organization of the accessing user (at least in those cases where an individual accesses information on behalf of more than one organization); 7. Source of the event that establishes the identity of any individual or process associated with the event; 8. Network addresses and protocols; 9. Destination IP addresses; 10. Device identity or location, if possible, and system identifier; 11. The outcome of the event; 12. Identity of any individuals, subjects, or objects/entities associated with the event using the username or user ID of the user related to the event; 13. The role the user is exercising; 14. In the case of access override to blocked or masked records or portions of records, a reason for the override, as chosen by the user making the access; 15. In the case of changes to consent directives made by a substitute decision-maker, the identity of the decision-maker.","NIST SP 800-92, ISO/IEC 27002:2022 5.10","Sí","Detallado y en línea con buenas prácticas de trazabilidad.","Alta","","40.45","0.66-SEC-CAT-LMF-011","80.11"
"SEC-CAT-LMF-016","The application must back up the audit records at least every seven days in a system or component different from the one being audited.","NIST SP 800-53 AU-9(2), ISO/IEC 27002:2022 5.12","Sí","Protección de registros frente a corrupción o pérdida local.","Alta","","38.66","0.65-SEC-CAT-LMF-020","77.42"
"SEC-CAT-LMF-017","The application must maintain audit records for a specific period of time, determined by regulations and medical standards. This retention must cover from 7 to 75 years, depending on the information and legal requirements of the State. Some states may require that medical records be preserved in the hospital to guarantee continuous accessibility.","HIPAA §164.316(b)(2)(i), ISO/IEC 27002:2022 5.33","Sí","Cobertura del ciclo de vida completo de registros clínicos.","Alta","","28.13","0.62-SEC-CAT-LMF-016","68.03"
"SEC-CAT-LMF-018","The LOG management application must ensure access and protect against unauthorized modification delete, and guarantee the integrity of audit tools to prevent improper use or commitment.","NIST SP 800-53 AU-9, ISO/IEC 27002:2022 5.12","Sí","La protección de los mecanismos de auditoría es esencial.","Alta","","2.79","0.66-SEC-CAT-LMF-006","53.20"
"SEC-CAT-LMF-019","The application must implement strict control measures for the elimination, replication, and consultations of audit records, ensuring total control over the entry, reading, manipulation, or data disposal.","NIST SP 800-53 AU-9, ISO/IEC 27002:2022 5.12","Sí","Minimiza riesgo de manipulación o eliminación maliciosa.","Alta","","-6.7","0.67-SEC-CAT-LMF-008","45.53"
"SEC-CAT-LMF-020","The application must transfer audit records to a system or medium different from the audited system and be configured to write application records in a centralized repository.","NIST SP 800-92, ISO/IEC 27002:2022 5.10","Sí","Consolidación centralizada facilita análisis y preservación.","Alta","","10.23","0.67-SEC-CAT-LMF-007","57.31"
"SEC-CAT-LMF-021","The application must allow the review and centralized analysis of audit records with filtering options defined by the organization.","NIST SP 800-92, ISO/IEC 27002:2022 5.10","Sí","Permite eficiencia en auditorías e investigaciones.","Alta","","9.89","0.66-SEC-CAT-LMF-020","57.72"
"SEC-CAT-LMF-022","At least one application administrator must be registered to receive notifications of updates or safety alerts when they are automatically available. Administrators must register to receive update notifications, allowing them to stop and update applications and components of the application.","ISO/IEC 27002:2022 5.30","Sí","Garantiza respuesta rápida ante vulnerabilidades emergentes.","Alta","","0.42","0.68-SEC-CAT-VOC-003","51.10"
"SEC-CAT-LMF-023","The application must generate audit records when a concurrent session is produced from different workstations.","NIST SP 800-53 AU-2(3), ISO/IEC 27002:2022 5.10","Sí","Detección temprana de comportamiento sospechoso o uso compartido de cuentas.","Alta","","22.41","0.69-SEC-CAT-LMF-011","65.10"
"SEC-CAT-LMF-024","EHRI must be able to register and safely report each access to the records of a patient/person, complying with the following requirements: 1. Identify all users who have accessed or modified the records of a patient/person in a given period. 2. Provide functionality to inform for a given user: • The records you can access. • You can access the specific sections of the registration(s). • The privileges you have concerning each of these records. 3. Identify all patients/people whose records have been accessed or modified by a specific user in a given period. 4. The system must generate a security event in case of an attempt or potential success for violating the login controls.","HIPAA §164.312(b), ISO/IEC 27002:2022 5.10","Sí","Permite trazabilidad completa de accesos a ePHI por usuario y paciente.","Alta","","38.32","0.65-SEC-CAT-IAF-002","76.58"
"SEC-CAT-LMF-025","The application must notify the administrator, audit, and record the modifications made in the application configuration.","NIST SP 800-53 AU-12(3), ISO/IEC 27002:2022 5.10","Sí","Configurar trazabilidad de cambios para evitar alteraciones no autorizadas.","Alta","","-12.45","0.66-SEC-CAT-LMF-030","45.89"
"SEC-CAT-LMF-026","The application must notify the system administrators and system security officers (ISSO) of account activation actions. The application must be configured to send notifications to the system administrator and the ISSO when application accounts are enabled.","ISO/IEC 27002:2022 5.18","Sí","Transparencia en acciones críticas de gestión de cuentas.","Alta","","2.44","0.89-SEC-CAT-LMF-27","61.61"
"SEC-CAT-LMF-027","The application must notify the system administrators and system security officers (ISSO) of account deactivation actions. The application must be configured to send notifications to the system administrator and the ISSO when application accounts are enabled.","ISO/IEC 27002:2022 5.18","Sí","Evita desactivaciones no autorizadas sin supervisión.","Alta","","2.44","0.91-SEC-CAT-LMF-029","61.61"
"SEC-CAT-LMF-028","The application must notify the system administrators and the system security officers (ISSO) when application accounts are created.","ISO/IEC 27002:2022 5.18","Sí","Control estricto de creación de nuevas cuentas de usuario.","Alta","","-6.02","0.89-SEC-CAT-LMF-030","46.50"
"SEC-CAT-LMF-029","The application must notify the system administrators and system information security officers (ISSO) of account elimination actions. The application configuration must include notification to the system administrator and the ISSO when application accounts are deleted.","ISO/IEC 27002:2022 5.18","Sí","Evita eliminación silenciosa de cuentas que afecten trazabilidad.","Alta","","-13.98","0.91-SEC-CAT-LMF-027","46.01"
"SEC-CAT-LMF-030","The application must notify system administrators and system security officers (ISSO) when user accounts are modified.","ISO/IEC 27002:2022 5.18","Sí","Mantiene trazabilidad de cambios sobre privilegios o atributos de cuentas.","Alta","","-3.99","0.89-SEC-CAT-LMF-028","47.50"
"SEC-CAT-LMF-031","The application must provide functions to analyze records and audit traces to identify all users who have accessed or modified patient/people records during a certain period.","HIPAA §164.312(b), ISO/IEC 27002:2022 5.10","Sí","Permite investigaciones retrospectivas efectivas.","Alta","","11.25","0.67-SEC-CAT-LMF-008","58.81"
"SEC-CAT-LMF-032","The application must alert the Information Security Officer (ISSO) and the System administration (SA) in case of a failure in audit processing. The application must be configured to send an alarm when the audit system fails or is experiencing failure.","NIST SP 800-53 AU-5, ISO/IEC 27002:2022 5.10","Sí","Fallas en auditoría deben ser notificadas inmediatamente.","Alta","","25.8","0.71-SEC-CAT-LMF-028","68.95"
"SEC-CAT-SRF-001","The application must implement protection measures to prevent SSRF vulnerabilities, including network and application layer controls.","OWASP Top 10 2021 A10, CWE-918","Sí","Previene explotación de servicios internos por SSRF.","Alta","","-12.45","0.53-SEC-CAT-IND-018","45.89"
